    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 436942 andrei    20   0   14504   5544   3404 R  15.4   0.1   0:00.05 top
   1992 andrei    20   0 4883116 405180 128080 S   7.7  10.1  22:29.01 gnome-s+
      1 root      20   0   23192  14344   9472 S   0.0   0.4   0:04.27 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.71 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:13.62 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.03 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.21 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:00.44 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.71 ksoftir+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     32 root      rt   0       0      0      0 S   0.0   0.0   0:00.43 migrati+
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.64 ksoftir+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     37 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     38 root      rt   0       0      0      0 S   0.0   0.0   0:00.47 migrati+
     39 root      20   0       0      0      0 S   0.0   0.0   0:01.34 ksoftir+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root      20   0       0      0      0 I   0.0   0.0   0:12.13 kworker+
     46 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kauditd
     49 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungta+
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root      20   0       0      0      0 S   0.0   0.0   0:01.07 kcompac+
     55 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     56 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     57 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     62 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     64 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     65 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     66 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     67 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     71 root       0 -20       0      0      0 I   0.0   0.0   0:00.43 kworker+
     72 root      20   0       0      0      0 S   0.0   0.0   0:01.56 kswapd0
     73 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     74 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     76 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     78 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     80 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.42 kworker+
     97 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.33 kworker+
    170 root       0 -20       0      0      0 I   0.0   0.0   0:00.59 kworker+
    173 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    174 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    187 root      20   0       0      0      0 I   0.0   0.0   0:04.69 kworker+
    227 root      20   0       0      0      0 S   0.0   0.0   0:01.51 jbd2/sd+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    277 root      19  -1   67284  18200  16644 S   0.0   0.5   0:01.12 systemd+
    300 root      20   0       0      0      0 I   0.0   0.0   0:12.38 kworker+
    335 root      20   0   30580   7652   3940 S   0.0   0.2   0:00.47 systemd+
    397 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    444 systemd+  20   0   17560   7640   6724 S   0.0   0.2   0:04.26 systemd+
    455 systemd+  20   0   21844  12384   9848 S   0.0   0.3   0:00.89 systemd+
    463 systemd+  20   0   91048   7860   6876 S   0.0   0.2   0:00.14 systemd+
    570 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    571 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    574 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    876 avahi     20   0    8668   4472   4012 S   0.0   0.1   0:00.13 avahi-d+
    877 message+  20   0   12068   7176   4636 S   0.0   0.2   0:02.86 dbus-da+
    880 gnome-r+  20   0  439076  14900  12412 S   0.0   0.4   0:00.06 gnome-r+
    883 polkitd   20   0  384784  11208   7748 S   0.0   0.3   0:01.88 polkitd
    887 root      20   0  313376   7364   6616 S   0.0   0.2   0:00.08 power-p+
    896 root      20   0 2070144  34780  19340 S   0.0   0.9   0:17.59 snapd
    899 root      20   0  313292   7764   6876 S   0.0   0.2   0:00.49 account+
    902 root      20   0    9424   2832   2584 S   0.0   0.1   0:00.04 cron
    903 root      20   0  309720   6772   6196 S   0.0   0.2   0:00.06 switche+
    905 root      20   0   18148   8856   7716 S   0.0   0.2   0:00.50 systemd+
    911 root      20   0  469460  12204   9516 S   0.0   0.3   0:00.36 udisksd
